gid,name,province,DOMAIN,local_name,LAT,LONG
501171,Kota Cilegon,Banten,Banten,Kota Cilegon,-6.022775,106.052742
501172,Pandeglang,Banten,Banten,Kab. Pandeglang,-6.303889,106.09
501173,Rangkasbitung,Banten,Banten,Kab. Lebak,-6.355904,106.248779
501174,Serang,Banten,Banten,Kota Serang,-6.133333334,106.1667
501176,Tigaraksa,Banten,Banten,Kab. Tangerang,-6.27486,106.480179
501597,Ciruas,Banten,Banten,Kota Serang,-6.112556,106.224722
5002201,Pelabuhan Merak,Banten,Banten,Kota Cilegon,-5.933399,106.001158
5002203,Labuan,Banten,Banten,Kab. Pandeglang,-6.393138,105.829496
5002205,Gunung kencana,Banten,Banten,Kab. Lebak,-6.585489,106.078663
5002206,Malingping,Banten,Banten,Kab. Lebak,-6.774739,105.951462
5002207,Kab. Lebak,Banten,Banten,Kab. Lebak,-6.526141,106.197281
5002208,Bojonegara,Banten,Banten,Kab. Serang,-5.979753,106.092739
5002209,Carita,Banten,Banten,Kab. Pandeglang,-6.315128,105.843487
5002221,Pantai Mabak,Banten,Wisata Lokasi,Kota Cilegon,-5.979412,105.980473
5002244,Binuangen,Banten,Banten,Kab. Lebak,-6.837508,105.889063
5002333,Kota Tangerang,Banten,Banten,Kota Tangerang,-6.175457,106.636047
5002334,Serpong,Banten,Banten,Kota Tangerang Selatan,-6.319905,106.664286
5008762,Cibeber,Banten,Banten,Kota Cilegon,-6.047,106.053
5008764,Citangkil,Banten,Banten,Kota Cilegon,-6.013,106.01
5008765,Ciwandan,Banten,Banten,Kota Cilegon,-6.028,105.963
5008766,Grogol,Banten,Banten,Kota Cilegon,-5.977,106.016
5008767,Jombang,Banten,Banten,Kota Cilegon,-6.009,106.065
5008768,Pulomerak,Banten,Banten,Kota Cilegon,-5.921,106.02
5008769,Purwakarta,Banten,Banten,Kota Cilegon,-5.984,106.046
5008770,Cipocok Jaya,Banten,Banten,Kota Serang,-6.151,106.152
5008772,Kasemen,Banten,Banten,Kota Serang,-6.079,106.188
5008773,Serang,Banten,Banten,Kota Serang,-6.16,106.12
5008774,Taktakan,Banten,Banten,Kota Serang,-6.135,106.106
5008775,Walantaka,Banten,Banten,Kota Serang,-6.147,106.232
5008776,Batuceper,Banten,Banten,Kota Tangerang,-6.16,106.67
5008777,Benda,Banten,Banten,Kota Tangerang,-6.136,106.671
5008778,Cibodas,Banten,Banten,Kota Tangerang,-6.202,106.604
5008779,Ciledug,Banten,Banten,Kota Tangerang,-6.236808,106.686344
5008780,Cipondoh,Banten,Banten,Kota Tangerang,-6.186,106.685
5008781,Jatiuwung,Banten,Banten,Kota Tangerang,-6.2,106.576
5008782,Karangtengah,Banten,Banten,Kota Tangerang,-6.20609,106.688404
5008783,Karawaci,Banten,Banten,Kota Tangerang,-6.159,106.628
5008784,Larangan,Banten,Banten,Kota Tangerang,-6.222644,106.682568
5008785,Neglasari,Banten,Banten,Kota Tangerang,-6.143,106.623
5008786,Periuk,Banten,Banten,Kota Tangerang,-6.167,106.595
5008787,Pinang,Banten,Banten,Kota Tangerang,-6.216,106.667
5008790,Ciputat,Banten,Banten,Kota Tangerang Selatan,-6.292,106.734
5008791,Ciputat Timur,Banten,Banten,Kota Tangerang Selatan,-6.289022,106.741447
5008792,Pamulang,Banten,Banten,Kota Tangerang Selatan,-6.342,106.735
5008793,Pondok Aren,Banten,Banten,Kota Tangerang Selatan,-6.269741,106.746426
5008795,Serpong Utara,Banten,Banten,Kota Tangerang Selatan,-6.256,106.662
5008796,Setu,Banten,Banten,Kota Tangerang Selatan,-6.328,106.673
5008797,Banjarsari,Banten,Banten,Kab. Lebak,-6.557,105.988
5008798,Bayah,Banten,Banten,Kab. Lebak,-6.933,106.244
5008799,Bojongmanik,Banten,Banten,Kab. Lebak,-6.585,106.166
5008800,Cibadak,Banten,Banten,Kab. Lebak,-6.341,106.189
5008801,Cibeber,Banten,Banten,Kab. Lebak,-6.86,106.304
5008802,Cigemblong,Banten,Banten,Kab. Lebak,-6.75,106.039
5008803,Cihara,Banten,Banten,Kab. Lebak,-6.83,106.043
5008804,Cijaku,Banten,Banten,Kab. Lebak,-6.705,106.07
5008805,Cikulur,Banten,Banten,Kab. Lebak,-6.395,106.077
5008806,Cileles,Banten,Banten,Kab. Lebak,-6.505,106.085
5008807,Cilograng,Banten,Banten,Kab. Lebak,-6.919,106.309
5008808,Cimarga,Banten,Banten,Kab. Lebak,-6.424,106.235
5008809,Cipanas,Banten,Banten,Kab. Lebak,-6.562,106.303
5008810,Cirinten,Banten,Banten,Kab. Lebak,-6.632,106.077
5008811,Curugbitung,Banten,Banten,Kab. Lebak,-6.444,106.33
5008813,Kalanganyar,Banten,Banten,Kab. Lebak,-6.384,106.198
5008814,Lebak Gedong,Banten,Banten,Kab. Lebak,-6.615,106.351
5008815,Leuwidamar,Banten,Banten,Kab. Lebak,-6.509,106.204
5008816,Maja,Banten,Banten,Kab. Lebak,-6.371,106.288
5008817,Malingping,Banten,Banten,Kab. Lebak,-6.776,106.011
5008818,Muncang,Banten,Banten,Kab. Lebak,-6.546,106.289
5008819,Panggarangan,Banten,Banten,Kab. Lebak,-6.831,106.162
5008821,Sajira,Banten,Banten,Kab. Lebak,-6.488,106.372
5008822,Sobang,Banten,Banten,Kab. Lebak,-6.659151,106.305084
5008823,Wanasalam,Banten,Banten,Kab. Lebak,-6.797,105.957
5008824,Warunggunung,Banten,Banten,Kab. Lebak,-6.342,106.172
5008825,Angsana,Banten,Banten,Kab. Pandeglang,-6.608,105.783
5008826,Banjar,Banten,Banten,Kab. Pandeglang,-6.372,106.104
5008827,Bojong,Banten,Banten,Kab. Pandeglang,-6.442,105.996
5008828,Cadasari,Banten,Banten,Kab. Pandeglang,-6.263,106.13
5008830,Cibaliung,Banten,Banten,Kab. Pandeglang,-6.716,105.706
5008831,Cibitung,Banten,Banten,Kab. Pandeglang,-6.784,105.66
5008832,Cigeulis,Banten,Banten,Kab. Pandeglang,-6.615,105.615
5008833,Cikedal,Banten,Banten,Kab. Pandeglang,-6.384,105.886
5008834,Cikeusik,Banten,Banten,Kab. Pandeglang,-6.725,105.873
5008835,Cimanggu,Banten,Banten,Kab. Pandeglang,-6.66,105.64
5008836,Cimanuk,Banten,Banten,Kab. Pandeglang,-6.35,106.044
5008837,Cipeucang,Banten,Banten,Kab. Pandeglang,-6.393,105.999
5008838,Cisata,Banten,Banten,Kab. Pandeglang,-6.42,105.92
5008839,Jiput,Banten,Banten,Kab. Pandeglang,-6.323,105.887
5008840,Kaduhejo,Banten,Banten,Kab. Pandeglang,-6.31,106.051
5008841,Karang Tanjung,Banten,Banten,Kab. Pandeglang,-6.287,106.118
5008842,Koroncong,Banten,Banten,Kab. Pandeglang,-6.275,106.162
5008843,Labuan,Banten,Banten,Kab. Pandeglang,-6.368,105.835
5008844,Majasari,Banten,Banten,Kab. Pandeglang,-6.325,106.1
5008845,Mandalawangi,Banten,Banten,Kab. Pandeglang,-6.311,105.906
5008846,Mekarjaya,Banten,Banten,Kab. Pandeglang,-6.393,106.068
5008847,Menes,Banten,Banten,Kab. Pandeglang,-6.377,105.92
5008848,Munjul,Banten,Banten,Kab. Pandeglang,-6.632,105.871
5008849,Pagelaran,Banten,Banten,Kab. Pandeglang,-6.418,105.86
5008850,Pandeglang,Banten,Banten,Kab. Pandeglang,-6.311,106.106
5008851,Panimbang,Banten,Banten,Kab. Pandeglang,-6.504,105.815
5008852,Pantai Tanjung Lesung,Banten,Banten,Kab. Pandeglang,-6.504,105.815
5008853,Patia,Banten,Banten,Kab. Pandeglang,-6.479,105.879
5008854,Picung,Banten,Banten,Kab. Pandeglang,-6.497,105.951
5008855,Pulosari,Banten,Banten,Kab. Pandeglang,-6.334,105.94
5008856,Saketi,Banten,Banten,Kab. Pandeglang,-6.409,105.972
5008857,Sindangresmi,Banten,Banten,Kab. Pandeglang,-6.541,105.915
5008858,Sobang,Banten,Banten,Kab. Pandeglang,-6.602,105.699
5008859,Sukaresmi,Banten,Banten,Kab. Pandeglang,-6.504,105.844
5008860,Sumur,Banten,Banten,Kab. Pandeglang,-6.662,105.58
5008861,Anyer,Banten,Banten,Kab. Serang,-6.094,105.887
5008862,Bandung,Banten,Banten,Kab. Serang,-6.224,106.308
5008863,Baros,Banten,Banten,Kab. Serang,-6.216,106.133
5008864,Binuang,Banten,Banten,Kab. Tangerang,-6.13,106.346
5008866,Carenang,Banten,Banten,Kab. Serang,-6.085,106.318
5008867,Cikande,Banten,Banten,Kab. Tangerang,-6.183,106.358
5008868,Cikeusal,Banten,Banten,Kab. Serang,-6.188,105.999
5008869,Cinangka,Banten,Banten,Kab. Serang,-6.174,105.885
5008870,Ciomas,Banten,Banten,Kota Serang,-6.244,106.028
5008871,Ciruas,Banten,Banten,Kab. Serang,-6.122,106.236
5008872,Gunungsari,Banten,Banten,Kab. Serang,-6.161,106.039
5008873,Jawilan,Banten,Banten,Kab. Serang,-6.282,106.351
5008874,Kibin,Banten,Banten,Kab. Serang,-6.163,106.318
5008875,Kopo,Banten,Banten,Kab. Serang,-6.295,106.379
5008876,Kragilan,Banten,Banten,Kab. Serang,-6.132,106.274
5008877,Kramatwatu,Banten,Banten,Kab. Serang,-6.061,106.131
5008879,Mancak,Banten,Banten,Kab. Serang,-6.105,105.98
5008880,Pabuaran,Banten,Banten,Kab. Serang,-6.194,106.089
5008881,Padarincang,Banten,Banten,Kab. Serang,-6.22,105.933
5008882,Pamarayan,Banten,Banten,Kab. Serang,-6.264,106.29
5008883,Petir,Banten,Banten,Kab. Serang,-6.21,106.2
5008884,Pontang,Banten,Banten,Kab. Serang,-6.029,106.263
5008885,PuloAmpel,Banten,Banten,Kab. Serang,-5.913,106.085
5008886,Tanara,Banten,Banten,Kab. Serang,-6.038,106.355
5008887,Tirtayasa,Banten,Banten,Kab. Serang,-6.024,106.33
5008888,Tunjung Teja,Banten,Banten,Kab. Serang,-6.281,106.236
5008889,Waringinkurung,Banten,Banten,Kab. Serang,-6.06,106.067
5008890,Balaraja,Banten,Banten,Kab. Tangerang,-6.157,106.418
5008891,Bandara Budiarto Curug,Banten,Banten,Kab. Tangerang,-6.237,106.531
5008892,Bandara Soekarno-Hatta,Banten,Banten,Kota Tangerang,-6.194,106.65
5008893,Cikupa,Banten,Banten,Kab. Tangerang,-6.218,106.513
5008894,Cisauk,Banten,Banten,Kab. Tangerang,-6.33,106.64
5008895,Cisoka,Banten,Banten,Kab. Tangerang,-6.311,106.572
5008896,Curug,Banten,Banten,Kab. Tangerang,-6.237,106.531
5008897,Gunung kaler,Banten,Banten,Kab. Tangerang,-6.093,106.375
5008898,Jambe,Banten,Banten,Kab. Tangerang,-6.324,106.497
5008899,Jayanti,Banten,Banten,Kab. Tangerang,-6.204,106.396
5008900,Kelapa Dua,Banten,Banten,Kab. Tangerang,-6.239,106.611
5008901,Kemiri,Banten,Banten,Kota Tangerang,-6.077,106.464
5008902,Kosambi,Banten,Banten,Kab. Tangerang,-6.077,106.695
5008903,Kresek,Banten,Banten,Kab. Tangerang,-6.14,106.403
5008904,Kronjo,Banten,Banten,Kab. Tangerang,-6.056,106.426
5008905,Legok,Banten,Banten,Kab. Tangerang,-6.307,106.571
5008906,Mauk,Banten,Banten,Kab. Tangerang,-6.081,106.542
5008907,Mekarbaru,Banten,Banten,Kab. Tangerang,-6.053,106.383
5008908,Pagedangan,Banten,Banten,Kab. Tangerang,-6.293,106.62
5008909,Pakuhaji,Banten,Banten,Kab. Tangerang,-6.054,106.605
5008910,Panongan,Banten,Banten,Kab. Tangerang,-6.279,106.526
5008911,Pasar kemis,Banten,Banten,Kab. Tangerang,-6.167,106.505
5008912,Rajeg,Banten,Banten,Kab. Tangerang,-6.115,106.507
5008913,Sepatan,Banten,Banten,Kab. Tangerang,-6.117,106.584
5008914,Sepatan Timur,Banten,Banten,Kab. Tangerang,-6.118,106.607
5008915,Sindang Jaya,Banten,Banten,Kab. Tangerang,-6.171,106.499
5008916,Solear,Banten,Banten,Kab. Tangerang,-6.309,106.417
5008917,Sukadiri,Banten,Banten,Kab. Tangerang,-6.062,106.559
5008918,Sukamulya,Banten,Banten,Kab. Tangerang,-6.235,106.506
5008919,Teluknaga,Banten,Banten,Kab. Tangerang,-6.071,106.646
