gid,name,province,DOMAIN,local_name,LAT,LONG
501191,Jakarta Timur,DKI Jakarta,DKI Jakarta,Kota Jakarta Timur,-6.213599,106.901093
501192,Jakarta Barat,DKI Jakarta,DKI Jakarta,Kota Jakarta Barat,-6.203019,106.731319
501193,Jakarta Selatan,DKI Jakarta,DKI Jakarta,Kota Jakarta Selatan,-6.293118,106.856804
501194,Kepulauan Seribu,DKI Jakarta,DKI Jakarta,Kab. Kepulauan Seribu,-5.987607,106.825562
501195,Jakarta Pusat,DKI Jakarta,DKI Jakarta,Kota Jakarta Pusat,-6.176396,106.826591
501196,Jakarta Utara,DKI Jakarta,DKI Jakarta,Kota Jakarta Utara,-6.126218,106.865559
5005587,Kepulauan Seribu Selatan,DKI Jakarta,DKI Jakarta,Kab. Kepulauan Seribu,-5.988589,106.820068
5005588,Kepulauan Seribu Utara,DKI Jakarta,DKI Jakarta,Kab. Kepulauan Seribu,-5.74611111111111,106.615347222222
5005589,Jagakarsa ,DKI Jakarta,DKI Jakarta,Kota Jakarta Selatan,-6.3349,106.8237
5005590,Pasar Minggu ,DKI Jakarta,DKI Jakarta,Kota Jakarta Selatan,-6.294,106.8237
5005591,Cilandak ,DKI Jakarta,DKI Jakarta,Kota Jakarta Selatan,-6.2845,106.8001
5005592,Pesanggrahan ,DKI Jakarta,DKI Jakarta,Kota Jakarta Selatan,-6.2474,106.7618
5005593,Kebayoran Lama ,DKI Jakarta,DKI Jakarta,Kota Jakarta Selatan,-6.2444,106.7765
5005594,Kebayoran Baru ,DKI Jakarta,DKI Jakarta,Kota Jakarta Selatan,-6.2436,106.8001
5005595,Mampang Prapatan ,DKI Jakarta,DKI Jakarta,Kota Jakarta Selatan,-6.2506,106.8208
5005596,Pancoran ,DKI Jakarta,DKI Jakarta,Kota Jakarta Selatan,-6.2523,106.8473
5005597,Tebet ,DKI Jakarta,DKI Jakarta,Kota Jakarta Selatan,-6.2319,106.8473
5005598,Setia Budi ,DKI Jakarta,DKI Jakarta,Kota Jakarta Selatan,-6.2196,106.8326
5005599,Pasar Rebo ,DKI Jakarta,DKI Jakarta,Kota Jakarta Timur,-6.3262,106.8562
5005600,Ciracas ,DKI Jakarta,DKI Jakarta,Kota Jakarta Timur,-6.3231,106.8709
5005601,Cipayung ,DKI Jakarta,DKI Jakarta,Kota Jakarta Timur,-6.3273,106.9004
5005602,Makasar,DKI Jakarta,DKI Jakarta,Kota Jakarta Timur,-6.2712,106.8945
5005603,Kramat Jati ,DKI Jakarta,DKI Jakarta,Kota Jakarta Timur,-6.2826,106.8591
5005604,Jatinegara ,DKI Jakarta,DKI Jakarta,Kota Jakarta Timur,-6.2307,106.8827
5005605,Duren Sawit,DKI Jakarta,DKI Jakarta,Kota Jakarta Timur,-6.2295,106.9182
5005606,Cakung ,DKI Jakarta,DKI Jakarta,Kota Jakarta Timur,-6.1826,106.9477
5005607,Pulo Gadung,DKI Jakarta,DKI Jakarta,Kota Jakarta Timur,-6.1895,106.8945
5005608,Matraman ,DKI Jakarta,DKI Jakarta,Kota Jakarta Timur,-6.2033,106.8621
5005609,Tanah Abang ,DKI Jakarta,DKI Jakarta,Kota Jakarta Pusat,-6.2024,106.8119
5005610,Menteng ,DKI Jakarta,DKI Jakarta,Kota Jakarta Pusat,-6.194,106.8326
5005611,Senen ,DKI Jakarta,DKI Jakarta,Kota Jakarta Pusat,-6.1935,106.8503
5005612,Johar Baru ,DKI Jakarta,DKI Jakarta,Kota Jakarta Pusat,-6.1868,106.8577
5005613,Cempaka Putih ,DKI Jakarta,DKI Jakarta,Kota Jakarta Pusat,-6.1827,106.868
5005614,Kemayoran ,DKI Jakarta,DKI Jakarta,Kota Jakarta Pusat,-6.1604,106.8473
5005615,Sawah Besar ,DKI Jakarta,DKI Jakarta,Kota Jakarta Pusat,-6.1532,106.8326
5005616,Gambir,DKI Jakarta,DKI Jakarta,Kota Jakarta Pusat,-6.179809,106.824532
5005617,Kembangan ,DKI Jakarta,DKI Jakarta,Kota Jakarta Barat,-6.1912,106.7423
5005618,Kebon Jeruk ,DKI Jakarta,DKI Jakarta,Kota Jakarta Barat,-6.1835,106.7647
5005619,Palmerah ,DKI Jakarta,DKI Jakarta,Kota Jakarta Barat,-6.1901,106.7972
5005620,Grogol Petamburan ,DKI Jakarta,DKI Jakarta,Kota Jakarta Barat,-6.1623,106.7883
5005621,Tambora,DKI Jakarta,DKI Jakarta,Kota Jakarta Barat,-6.149,106.8031
5005622,Taman Sari,DKI Jakarta,DKI Jakarta,Kota Jakarta Barat,-6.1485,106.8208
5005623,Cengkareng ,DKI Jakarta,DKI Jakarta,Kota Jakarta Barat,-6.1487,106.7353
5005624,Kalideres ,DKI Jakarta,DKI Jakarta,Kota Jakarta Barat,-6.1343,106.7058
5005625,Penjaringan ,DKI Jakarta,DKI Jakarta,Kota Jakarta Utara,-6.1267,106.7824
5005626,Pademangan,DKI Jakarta,DKI Jakarta,Kota Jakarta Utara,-6.1326,106.8385
5005627,Tanjung Priok,DKI Jakarta,DKI Jakarta,Kota Jakarta Utara,-6.095494,106.89045
5005628,Koja ,DKI Jakarta,DKI Jakarta,Kota Jakarta Utara,-6.1177,106.9063
5005629,Kelapa Gading ,DKI Jakarta,DKI Jakarta,Kota Jakarta Utara,-6.1605,106.9055
5005630,Cilincing ,DKI Jakarta,DKI Jakarta,Kota Jakarta Utara,-6.1214,106.9477
