gid,name,province,DOMAIN,local_name,LAT,LONG
501212,Bandung,Jawa Barat,Jawa Barat,Kota Bandung,-6.90992,107.64691
501213,Banjar,Jawa Barat,Jawa Barat,Kota Banjar,-7.36996,108.55901
501216,Ciamis,Jawa Barat,Jawa Barat,Kab. Ciamis,-7.36,108.48
501217,Cianjur,Jawa Barat,Jawa Barat,Kab. Cianjur,-6.816666668,107.1333
501218,Cibinong,Jawa Barat,Jawa Barat,Kab. Bogor,-6.494077,106.830711
501219,Cikarang,Jawa Barat,Jawa Barat,Kab. Bekasi,-6.255237,107.149658
501220,Cimahi,Jawa Barat,Jawa Barat,Kota Cimahi,-6.88191,107.54861
501221,Cirebon,Jawa Barat,Jawa Barat,Kota Cirebon,-6.72,108.57552
501222,Kab.Sukabumi,Jawa Barat,Jawa Barat,Kab. Sukabumi,-6.930517,106.921005
501224,Garut,Jawa Barat,Jawa Barat,Kab. Garut,-7.233333334,107.8833
501225,Indramayu,Jawa Barat,Jawa Barat,Kab. Indramayu,-6.333333334,108.3167
501226,Karawang,Jawa Barat,Jawa Barat,Kab. Karawang,-6.309156,107.306213
501227,Kuningan,Jawa Barat,Jawa Barat,Kab. Kuningan,-6.983333335,108.4833
501228,Majalengka,Jawa Barat,Jawa Barat,Kab. Majalengka,-6.81747,108.22775
501229,Pelabuhan Ratu,Jawa Barat,Jawa Barat,Kab. Sukabumi,-6.985,106.55
501230,Purwakarta,Jawa Barat,Jawa Barat,Kab. Purwakarta,-6.565025,107.439423
501231,Singaparna,Jawa Barat,Jawa Barat,Kab. Tasikmalaya,-7.348833,108.121944
501232,Soreang,Jawa Barat,Jawa Barat,Kab. Bandung,-7.025935,107.524567
501233,Subang,Jawa Barat,Jawa Barat,Kab. Subang,-6.566389,107.760773
501234,Sumber,Jawa Barat,Jawa Barat,Kab. Cirebon,-6.75021,108.55259
501235,Sumedang,Jawa Barat,Jawa Barat,Kab. Sumedang,-6.850078,107.926941
501236,Tasikmalaya,Jawa Barat,Jawa Barat,Kota Tasikmalaya,-7.36021,108.21763
501599,Lembang,Jawa Barat,Jawa Barat,Kab. Bandung Barat,-6.816671,107.633057
5002227,Kota Bogor,Jawa Barat,Jawa Barat,Kota Bogor,-6.598449,106.797409
5002228,Bekasi,Jawa Barat,Jawa Barat,Kota Bekasi,-6.23476,106.994476
5002229,Depok,Jawa Barat,Jawa Barat,Kota Depok,-6.408107,106.814575
5002252,Parigi,Jawa Barat,Jawa Barat,Kab. Pangandaran,-7.684454,108.538742
5002286,Cisarua,Jawa Barat,Jawa Barat,Kab. Bogor,-6.690523,106.931305
5002287,Cipanas,Jawa Barat,Jawa Barat,Kab. Cianjur,-6.7103,107.20047
5002288,Gadog,Jawa Barat,Jawa Barat,Gadog Puncak,-6.656764,106.86367
5009222,Agrabinta,Jawa Barat,Jawa Barat,Kab. Cianjur,-7.4082,106.9917
5009223,Andir,Jawa Barat,Jawa Barat,Kota Bandung,-6.906,107.564
5009224,Anjatan,Jawa Barat,Jawa Barat,Kab. Indramayu,-6.36,107.92
5009225,Antapani,Jawa Barat,Jawa Barat,Kota Bandung,-6.917,107.642
5009226,Arahan,Jawa Barat,Jawa Barat,Kab. Indramayu,-6.35,108.25
5009227,Arcamanik,Jawa Barat,Jawa Barat,Kota Bandung,-6.921,107.661
5009228,Argapura,Jawa Barat,Jawa Barat,Kab. Majalengka,-6.893,108.319
5009229,Arjasari,Jawa Barat,Jawa Barat,Kab. Bandung,-7.049,107.64
5009230,Arjawinangun,Jawa Barat,Jawa Barat,Kab. Cirebon,-6.633,108.365
5009231,Astanaanyar,Jawa Barat,Jawa Barat,Kota Bandung,-6.938,107.584
5009232,Astanajapura,Jawa Barat,Jawa Barat,Kab. Cirebon,-6.795,108.586
5009233,Babakan,Jawa Barat,Jawa Barat,Kab. Cirebon,-6.866,108.708
5009234,Babakan Madang,Jawa Barat,Jawa Barat,Kab. Bogor,-6.548,106.986
5009235,Babakanciparay,Jawa Barat,Jawa Barat,Kota Bandung,-6.94,107.559
5009236,Babelan,Jawa Barat,Jawa Barat,Kab. Bekasi,-6.127,107.034
