valid_time,durasi,prec24,rhmin,rhmax,tmin,tmax,ws,wd,wx,vis,vis_text,loc
2022-08-02,3,5.9,70,100,23.3,30.4,5.8,NE,HR,4.3,<5,loc1
2022-08-03,6,5.8,72,100,22.5,29.8,4.0,N,HR,5.2,<7,loc1
2022-08-04,0,1.4,70,100,22.8,29.6,7.4,SE,FG,5.5,<7,loc1
2022-08-05,0,1.3,65,100,22.3,29.3,7.3,S,FG,8.6,<10,loc1
2022-08-06,0,0.0,66,100,21.3,29.5,5.8,S,FG,43.4,>10,loc1
2022-08-07,0,0.0,67,100,20.6,29.7,6.7,SE,CLEAR,6.2,<7,loc1
2022-08-08,3,15.2,76,100,23.3,29.7,5.2,NE,HS,8.9,<10,loc1
2022-08-09,6,5.4,72,100,23.1,29.5,5.2,SE,HR,3.6,<5,loc1
2022-08-10,6,4.1,78,99,22.3,30.2,4.6,N,HR,3.0,<5,loc1
2022-08-11,0,1.0,69,99,23.6,31.3,7.3,N,FG,7.4,<10,loc1
2022-08-12,0,0.0,91,97,23.6,26.2,4.1,N,BR,5.7,<7,loc1
