valid_time,t2m,d2m,ws,wd_deg,prec,rh,vis,vis_text,wd_web,wd,wv,wx,wx_web,loc,local_time
2022-08-02 00:00:00,24.0,24.0,3.7,57.6,0.0,100,0.0,<1,2,NE,FG,FG,4,loc3,2022-08-02 08:00:00
2022-08-02 03:00:00,29.2,23.1,6.1,60.7,5.3,70,34.9,>10,2,NE,1,HR,5,loc3,2022-08-02 11:00:00
2022-08-02 06:00:00,26.7,23.2,10.6,145.6,0.6,81,15.4,>10,4,SE,1,CLEAR,1,loc3,2022-08-02 14:00:00
2022-08-02 09:00:00,26.8,23.3,6.0,109.2,0.0,81,15.4,>10,3,E,1,CLEAR,1,loc3,2022-08-02 17:00:00
2022-08-02 12:00:00,24.6,23.4,4.7,344.3,0.0,93,4.3,<5,1,N,1,CLEAR,1,loc3,2022-08-02 20:00:00
2022-08-02 15:00:00,23.8,23.4,3.9,15.5,0.0,97,1.5,<5,1,N,BR,BR,3,loc3,2022-08-02 23:00:00
2022-08-02 18:00:00,23.3,23.3,6.2,356.8,0.0,100,0.0,<1,1,N,1,CLEAR,1,loc3,2022-08-03 02:00:00
2022-08-02 21:00:00,23.0,23.0,5.6,22.3,1.6,100,0.1,<1,1,N,FG,HR,5,loc3,2022-08-03 05:00:00
2022-08-03 00:00:00,24.7,23.2,3.2,89.8,0.3,92,5.2,<7,3,E,1,CLEAR,1,loc3,2022-08-03 08:00:00
2022-08-03 03:00:00,28.3,23.6,4.0,112.6,0.3,76,23.1,>10,4,SE,1,CLEAR,1,loc3,2022-08-03 11:00:00
2022-08-03 06:00:00,29.4,23.8,8.1,135.7,3.5,72,30.7,>10,4,SE,1,HR,5,loc3,2022-08-03 14:00:00
2022-08-03 09:00:00,26.8,23.9,2.7,117.2,0.1,84,12.1,>10,4,SE,1,CLEAR,1,loc3,2022-08-03 17:00:00
2022-08-03 12:00:00,24.7,23.9,1.2,348.9,0.0,95,2.6,<5,1,N,BR,BR,3,loc3,2022-08-03 20:00:00
